url_length,num_dots,num_special_chars,uses_http,has_ip,has_at_symbol,has_hyphen,is_shortened,num_subdomains,is_phishing
44,2,7,0,0,0,1,0,1,1
39,2,4,0,0,0,0,0,1,1
35,2,5,0,0,0,1,0,1,1
27,1,5,0,0,0,0,0,0,1
34,2,4,0,0,0,0,0,0,1
42,2,6,0,0,0,0,0,1,1
19,1,4,0,0,0,0,0,0,1
19,1,4,0,0,0,0,0,0,1
19,1,4,0,0,0,0,0,0,1
26,2,4,0,0,0,0,0,1,1
27,2,5,0,0,0,1,0,1,1
32,2,4,0,0,0,0,0,1,1
28,2,5,0,0,0,1,0,1,1
33,1,5,0,0,0,0,0,0,1
33,2,5,0,0,0,1,0,1,1
30,2,5,0,0,0,1,0,1,1
35,2,5,0,0,0,1,0,1,1
38,2,5,0,0,0,1,0,1,1
39,2,4,0,0,0,0,0,1,1
65,2,7,0,0,1,0,0,0,1
38,3,4,0,0,0,0,1,2,1
135,6,18,0,0,1,1,0,1,1
95,3,13,0,0,1,0,0,0,1
77,2,4,0,0,0,0,0,1,1
381,7,30,0,0,1,1,1,1,1
51,2,13,0,0,0,1,0,1,1
59,2,7,0,0,1,0,0,0,1
46,1,6,0,0,0,0,0,0,1
18,1,4,0,0,0,0,0,0,1
41,1,6,0,0,0,0,0,0,1
20,1,4,0,0,0,0,0,0,1
61,2,7,0,0,1,0,0,0,1
68,2,7,0,0,1,0,0,0,1
41,1,6,0,0,0,0,0,0,1
68,2,7,0,0,1,0,0,0,1
65,2,7,0,0,1,0,0,0,1
58,2,7,0,0,1,0,0,0,1
86,2,9,0,0,1,1,0,0,1
35,1,6,0,0,0,1,0,0,1
45,2,5,0,0,0,1,0,1,1
29,1,6,0,0,0,1,0,0,1
45,2,7,0,0,0,1,0,0,1
26,2,4,1,0,0,0,0,1,1
21,1,5,0,0,0,1,0,0,1
27,2,5,0,0,0,1,0,1,1
42,1,7,0,0,0,1,0,0,1
49,3,8,0,0,0,1,0,2,1
167,2,17,0,0,0,0,0,1,1
22,1,3,1,0,0,0,0,0,1
27,2,5,0,0,0,1,0,1,1
24,1,4,0,0,0,0,0,0,1
32,2,3,1,0,0,0,0,1,1
28,2,4,0,0,0,0,0,1,1
35,2,4,0,0,0,0,0,1,1
35,2,4,0,0,0,0,0,1,1
31,2,5,0,0,0,1,0,1,1
37,2,5,0,0,0,1,0,1,1
32,2,5,1,0,0,1,0,1,1
48,2,10,0,0,0,1,0,1,1
30,2,4,0,0,0,0,0,1,1
48,2,7,0,0,0,1,0,1,1
52,2,6,0,0,0,0,0,0,1
239,1,8,0,0,0,1,0,0,1
31,1,3,0,0,0,0,0,0,1
21,1,3,0,0,0,0,0,0,1
57,3,7,0,0,0,1,0,1,1
40,2,6,0,0,0,1,0,1,1
32,2,5,0,0,0,0,0,1,1
20,1,4,1,0,0,1,0,0,1
55,3,7,0,0,0,1,0,1,1
43,2,6,0,0,0,0,0,1,1
45,2,7,0,0,0,1,0,1,1
30,2,4,0,0,0,0,0,1,1
37,2,4,0,0,0,0,0,1,1
34,2,5,0,0,0,1,0,1,1
36,2,3,0,0,0,0,1,1,1
31,2,4,0,0,0,0,0,1,1
25,1,5,0,0,0,0,0,0,1
43,3,5,0,0,0,0,1,2,1
38,2,4,1,0,0,1,0,1,1
29,2,5,0,0,0,1,0,1,1
26,2,4,0,0,0,0,0,1,1
38,2,6,0,0,0,1,0,1,1
39,2,7,0,0,0,1,0,1,1
46,2,7,0,0,0,1,0,1,1
31,1,5,0,0,0,1,0,0,1
29,1,5,0,0,0,1,0,0,1
36,2,3,0,0,0,0,0,1,1
32,1,7,0,0,0,1,0,0,1
25,3,3,0,0,0,0,0,2,1
31,1,5,0,0,0,1,0,0,1
37,4,5,0,0,0,0,0,0,1
35,3,5,0,0,0,0,0,2,1
172,2,11,0,0,0,1,0,1,1
53,3,6,0,0,1,0,1,0,1
26,1,4,0,0,0,0,0,0,1
44,3,6,1,0,0,1,0,1,1
43,2,3,1,0,0,0,0,1,1
232,1,9,0,0,0,1,0,0,1
27,2,4,0,0,0,0,0,0,1
21,1,4,1,0,0,0,0,0,1
36,2,6,0,0,0,1,0,1,1
35,2,4,0,0,0,0,0,0,1
22,1,4,0,0,0,0,0,0,1
44,2,6,0,0,0,1,0,1,1
28,2,3,0,0,0,0,0,1,1
22,1,3,0,0,0,0,0,0,1
27,1,4,0,0,0,0,0,0,1
21,1,3,0,0,0,0,0,0,1
51,2,7,1,0,0,1,0,1,1
36,2,3,0,0,0,0,0,1,1
32,2,3,0,0,0,0,0,1,1
35,2,5,0,0,0,1,0,1,1
71,2,4,0,0,0,0,0,1,1
39,2,6,0,0,0,0,0,1,1
21,1,5,0,0,0,1,0,0,1
25,2,4,0,0,0,0,0,1,1
33,2,4,0,0,0,0,0,1,1
26,2,4,0,0,0,0,0,1,1
40,2,5,0,0,0,1,0,1,1
35,2,4,0,0,0,0,0,1,1
23,2,4,0,0,0,0,0,1,1
37,2,6,0,0,0,1,0,1,1
33,2,6,0,0,0,1,0,1,1
36,1,8,0,0,0,1,0,0,1
32,2,5,0,0,0,1,0,0,1
101,4,15,0,1,0,0,0,0,1
22,1,5,0,0,0,1,0,0,1
18,1,4,0,0,0,0,0,0,1
78,4,10,0,0,1,0,0,2,1
26,1,4,0,0,0,0,0,0,1
37,1,5,0,0,0,0,0,0,1
37,2,6,0,0,0,1,0,1,1
23,1,4,0,0,0,0,0,0,1
28,2,4,1,0,0,0,0,0,1
25,1,4,1,0,0,0,0,0,1
32,1,5,1,0,0,0,0,0,1
27,1,5,1,0,0,0,0,0,1
27,1,4,1,0,0,0,1,0,1
24,1,4,1,0,0,0,0,0,1
28,1,4,1,0,0,0,0,0,1
34,1,5,1,0,0,0,0,0,1
27,1,5,1,0,0,1,0,0,1
32,1,5,1,0,0,0,0,0,1
32,1,5,1,0,0,1,0,0,1
33,1,5,1,0,0,1,0,0,1
31,1,5,1,0,0,1,0,0,1
26,1,6,1,0,0,1,0,0,1
27,1,5,1,0,0,1,0,0,1
25,1,5,1,0,0,1,0,0,1
31,1,5,1,0,0,1,0,0,1
30,1,5,1,0,0,1,0,0,1
31,1,5,1,0,0,1,0,0,1
32,1,5,1,0,0,1,0,0,1
29,4,4,1,1,0,0,0,0,1
32,3,5,1,1,0,0,0,0,1
35,3,5,1,1,0,0,0,0,1
35,3,5,1,1,0,0,0,0,1
28,3,5,1,1,0,0,0,0,1
34,3,5,1,1,0,0,0,0,1
36,3,5,1,1,0,0,0,0,1
39,3,5,1,1,0,0,0,0,1
35,3,5,1,1,0,0,0,0,1
